地名,センター,可燃,ビン,カン,不燃,有害,プラスチック,古紙,古繊維,ペットボトル
青木町,,火 金,月1 月3,月1 月3,月1 月3,月1 月3,月1 月2 月3 月4,月2 月4,月2 月4,月2 月4
碧海町,,火 金,月1 月3,月1 月3,月1 月3,月1 月3,月1 月2 月3 月4,月2 月4,月2 月4,月2 月4
春日町,,火 金,月1 月3,月1 月3,月1 月3,月1 月3,月1 月2 月3 月4,月2 月4,月2 月4,月2 月4
沢渡町,,月 木,火1 火3,火1 火3,火1 火3,火1 火3,火1 火2 火3 火4,火2 火4,火2 火4,火2 火4
神明町,,月 木,火1 火3,火1 火3,火1 火3,火1 火3,火1 火2 火3 火4,火2 火4,火2 火4,火2 火4
豊田町,,月 木,火1 火3,火1 火3,火1 火3,火1 火3,火1 火2 火3 火4,火2 火4,火2 火4,火2 火4
湯山町,,月 木,火1 火3,火1 火3,火1 火3,火1 火3,火1 火2 火3 火4,火2 火4,火2 火4,火2 火4
小池町,,月 木,水1 水3,水1 水3,水1 水3,水1 水3,水1 水2 水3 水4,水2 水4,水2 水4,水2 水4
八幡町,,月 木,水1 水3,水1 水3,水1 水3,水1 水3,水1 水2 水3 水4,水2 水4,水2 水4,水2 水4
新田町,,月 木,水1 水3,水1 水3,水1 水3,水1 水3,水1 水2 水3 水4,水2 水4,水2 水4,水2 水4
清水町,,火 金,水1 水3,水1 水3,水1 水3,水1 水3,水1 水2 水3 水4,水2 水4,水2 水4,水2 水4
本郷町,,火 金,水1 水3,水1 水3,水1 水3,水1 水3,水1 水2 水3 水4,水2 水4,水2 水4,水2 水4
向山町,,火 金,水1 水3,水1 水3,水1 水3,水1 水3,水1 水2 水3 水4,水2 水4,水2 水4,水2 水4
論地町,,火 金,水1 水3,水1 水3,水1 水3,水1 水3,水1 水2 水3 水4,水2 水4,水2 水4,水2 水4
田戸町,,火 金,木1 木3,木1 木3,木1 木3,木1 木3,木1 木2 木3 木4,木2 木4,木2 木4,木2 木4
稗田町,,火 金,木1 木3,木1 木3,木1 木3,木1 木3,木1 木2 木3 木4,木2 木4,木2 木4,木2 木4
二池町,,火 金,木1 木3,木1 木3,木1 木3,木1 木3,木1 木2 木3 木4,木2 木4,木2 木4,木2 木4
呉竹町,,月 木,金1 金3,金1 金3,金1 金3,金1 金3,金1 金2 金3 金4,金2 金4,金2 金4,金2 金4
屋敷町,,月 木,金1 金3,金1 金3,金1 金3,金1 金3,金1 金2 金3 金4,金2 金4,金2 金4,金2 金4
芳川町,,月 木,金1 金3,金1 金3,金1 金3,金1 金3,金1 金2 金3 金4,金2 金4,金2 金4,金2 金4
